subject,description,searched,problem
Steph and I would like to make a reservation for help on Blackjack OO for after Sam's review :),"Confused on when to make classes

Current black jack is tons of methods...",Apollo and other students,Need review
Animal inheritance exercise,Just want to find out if my code is heading in the right direction.,Review exercises.,Gist - https://gist.github.com/mark-hay/3c4875fe908612337810
Class Method Quick Challenge,Unsure of how to implement algorithm.,how to access value inside a hash ruby,I don't fully understand how to access elements inside of data structures that contain both arrays and hashes.
Blackjack Refactoring,"Kate and I would like a little guidance with writing a pseudocode, including figuring out uses for certain classes.","stackoverflow, google, ...",A lack of understanding of how to refactor into classes
Class Method Gist,Keep getting an undefinited method error but cannot understand why.,".include, and .any in rubydoc",My valid_make? method will not work properly. 
quick challenge,folks are stuck at the table where i a sitting ,reviewed earlier material,stuck getting started
OO blackjack,"communication between methods in different classes
bunch of other stuff",will block to different method change state of variable,I cannot see the future of this program.
Steph and I would like to make a reservation for help on Blackjack OO for after Sam's review :),"Confused on when to make classes

Current black jack is tons of methods...",Apollo and other students,Need review
BlackJack ,"We have a working version of BlackJack but its mehhhhhhhh. 

I am trying to write it using objects instead but having some issues. ",My brain,"I think I am calculating the score wrong, amongst other issues :-) "
Model Review,Can I work with someone to review a model for the art gallery project?,N/A,N/A
Connecting to server,"I'm having trouble connecting to the server- my rails won't show up in the browser, and in my terminal I get the command line back at the bottom, whereas yesterday, it would just keep updating with server details. ","Stackoverflow, the rest of my row of people",It seems the connection just... quits. 
blog data model: tests/validations are written - can someone check to make sure these are good?,just want to see if i'm still on the right track with the specs/validations/models! =),n/a,n/a
getting postgres to work,"rake db:create results in FATAL: role ""blog"" does not exist",Google,Something might be wrong with the Path
Add me to Google Group!,Hey Dan-- please add me to the Google Group. I think that Jon Lau mentioned during morning crescent that he needed to be added as well. Thanks!,N/A,N/A
"""A server is already running. Check .../tmp/pids/server.pid""","A rails server is already running when I type ""rails s"" and it just exits.","Stack overflow recommended deleting the .pid file, which I tried and it worked initially but I subsequently had the same problem. I can also change the port with rails s -p but I want to keep 3000","$ rails s
=> Booting WEBrick
=> Rails 4.0.0 application starting in development on http://0.0.0.0:3000
=> Run `rails server -h` for more startup options
=> Ctrl-C to shutdown server
A server is already running. Check /Users/kevinquach/Dropbox/launchacademy/schmoogle/tmp/pids/server.pid.
Exiting"
Submitting Dropbox link for Art Gallery model doesn't work,It keeps saying it's an invalid Dropbox link,N/A,N/A
collapsing a margin on my shmoogle,I can't get the main part of my page to come right after the other,google,Something with my other margins maybe?
Pull requests,"I would just like to talk about pulls, forks etc. for 5-10 minutes to clarify my understanding.","Apollo, git resources",not enough practice... 
broken test suite,"having some trouble with the ""Vote has a note field"" - I created a vote note migration and created in my schema (migrate! rollback! migrate!) then also included it as attr_accessible but it's still failing.","apollo exercises, binding.pry",not sure - i'm sorta confused why this won't work since the note should be being set??
Making an alias ,"I have this in my .alias file

alias new_rails_app=""rails new $1 && cd $1 && git init && git add . && git commit -m 'Initial commit'""

When I execute it from the command line, this is what I get:

>new_rails_app test_app
Options should be given after the application name. For details run: rails --help","I did some searching for making an alias with rails, but couldn't find anything of relevance.","I think rails is trying to interpret the rest of my alias as command line options, instead of commands that should be executed after the initial one. 

Should I just write a script to take care of this, instead of trying to cram all this functionality into an alias?"
Validation,I need some help with input validation using regular expressions.,I looked at several stack overflow examples.,I would like to know if there is a standard way of doing validations.
